"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-511713398764741","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/20","9:06 PM","48.96","0","1.99","3.94","8.23","63.12","-12.74","0","-2.23","0","0"
"O-551613300400652","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","6:31 PM","44.70","0","0.00","3.46","7.22","55.38","-11.18","0","-1.99","0","0"
"O-417213330529655","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/20","7:30 PM","17.99","0","0.00","1.39","0","19.38","-4.50","0","-0.89","0","0"
"T-AwAAD06i0lgygB1AEeu38VnY6rRWBQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","GH Credit for Smart Promotions","11/2/20","11:23 AM","0","0","0.00","0.00","0","68.00","0","0","0","0","0"
"O-724313340983229","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","9:55 PM","27.71","0","8.99","2.38","3.91","42.99","-9.18","0","-1.43","0","-6.00"
"O-312113434461958","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/16/20","8:18 PM","41.94","0","6.99","3.79","7.91","60.63","-12.23","0","-2.15","0","0"
"O-218413413334428","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","6:00 PM","26.71","0","2.99","1.84","3.15","34.69","-7.43","0","-1.18","0","-6.00"
"O-722013416794490","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/14/20","6:44 PM","39.47","0","0.00","2.59","4.21","46.27","-9.87","0","-1.53","0","-6.00"
"O-991713314751823","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/4/20","9:37 PM","24.72","0","6.99","1.99","5.06","38.76","-7.93","0","-1.30","0","-6.00"
"O-065613342121647","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","3:06 PM","15.76","0","4.99","1.61","3.35","25.71","-5.19","0","-1.08","0","0"
"O-718113353324163","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","6:56 PM","34.28","0","1.99","2.81","7.82","46.90","-9.07","0","-1.73","0","0"
"O-427013573569690","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/20","7:15 PM","22.56","0","0.00","1.75","3.64","27.95","-5.64","0","-1.15","0","0"
"O-527513488029009","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","5:59 PM","26.98","0","6.99","2.63","5.49","42.09","-8.49","0","-1.58","0","0"
"O-144113345814134","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","5:32 PM","32.97","0","0.00","2.56","0","35.53","-8.24","0","-1.38","0","0"
"O-065613342134320","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","8:31 PM","39.13","0","4.99","3.42","5.00","52.54","-11.03","0","-1.90","0","0"
"O-028113351529594","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/20","4:26 PM","19.99","0","2.99","1.31","2.93","27.22","-5.75","0","-0.95","0","-6.00"
"O-485113495877624","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/23/20","3:11 PM","19.74","0","1.99","1.68","4.00","27.41","-5.43","0","-1.14","0","0"
"O-417213350528217","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/8/20","8:41 PM","24.98","0","2.99","2.17","4.52","34.66","-6.99","0","-1.36","0","0"
