Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-03-05,#FD40A,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-03-05,#752C5,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.48,-$5.59,-$3.00,$0.00,-$1.43,$1.43,$0.00,,$0.00,,$12.89,
Delivery,2022-03-05,#C3944,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.98,-$11.59,$0.00,$0.00,-$2.25,$2.25,$0.00,,$0.00,,$17.39,
Delivery,2022-03-05,#fc81bfe0,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.98,-$6.39,$0.00,$0.00,$0.00,$1.24,$1.24,,$0.00,,$10.83,
Delivery,2022-03-05,#2fe2512c,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$43.50,-$10.57,-$6.53,$0.00,$0.00,$2.87,$2.87,,$0.00,,$29.27,
Delivery,2022-03-05,#f2b017cc,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$11.99,-$4.80,$0.00,$0.00,$0.00,$0.93,$0.93,,$0.00,,$8.12,
Delivery,2022-03-05,#27daf70e,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$42.85,-$11.85,-$5.00,$0.00,$0.00,$2.93,$2.93,,$0.00,,$28.94,
Delivery,2022-03-05,#380B6,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.00,-$6.60,-$3.00,$0.00,-$1.63,$1.63,$0.00,,$0.00,,$14.40,
Delivery,2022-03-05,#D5918,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,-$1.16,$1.16,$0.00,,$0.00,,$10.79,
Delivery,2022-03-05,#C54E7,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.00,-$13.60,$0.00,$0.00,-$2.64,$2.64,$0.00,,$0.00,,$20.40,
Delivery,2022-03-05,#11D9B,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$40.00,-$16.00,$0.00,$0.00,-$3.10,$3.10,$0.00,,$0.00,,$24.00,
Delivery,2022-03-05,#8f36ee30,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.97,-$10.79,$0.00,$0.00,$0.00,$2.09,$2.09,,$0.00,,$18.27,
Delivery,2022-03-05,#e8d3f9c1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$5.86,-$5.00,$0.00,$0.00,$1.77,$1.77,,$0.00,,$18.81,
Delivery,2022-03-06,#6c354ae0,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-06,#AEED8,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$33.47,-$10.39,-$3.00,$0.00,-$2.36,$2.36,$0.00,,$0.00,,$20.08,
Delivery,2022-03-06,#20E1D,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$33.48,-$10.39,-$3.00,$0.00,-$2.36,$2.36,$0.00,,$0.00,,$20.09,
Delivery,2022-03-06,#8c003aba,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$38.97,-$9.44,-$5.85,$0.00,$0.00,$2.57,$2.57,,$0.00,,$26.25,
Delivery,2022-03-06,#588718172390180,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-06,#4855bc26,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.90,-$6.66,-$5.00,$0.00,$0.00,$1.93,$1.93,,$0.00,,$20.17,
Delivery,2022-03-06,#6874103b,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.97,-$6.99,-$5.79,$0.00,$0.00,$2.11,$2.11,,$0.00,,$21.30,
Delivery,2022-03-06,#A8D9C,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.99,-$10.80,$0.00,$0.00,-$2.09,$2.09,$0.00,,$0.00,,$16.19,
Delivery,2022-03-06,#857ab9e6,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.50,-$7.80,$0.00,$0.00,$0.00,$1.51,$1.51,,$0.00,,$13.21,
Delivery,2022-03-06,#7176a9c6,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$46.00,-$18.40,$0.00,$0.00,$0.00,$3.57,$3.57,,$0.00,,$31.17,
Delivery,2022-03-06,#34497237,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.00,-$8.40,$0.00,$0.00,$0.00,$1.63,$1.63,,$0.00,,$14.23,
Delivery,2022-03-06,#782518187054648,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$17.98,-$7.19,$0.00,$0.00,$0.00,$1.39,$1.39,,$0.00,,$12.18,
Delivery,2022-03-06,#6c4454eb,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.90,-$7.06,-$5.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$20.85,
Delivery,2022-03-06,#98C92,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.98,-$10.79,$0.00,$0.00,-$2.09,$2.09,$0.00,,$0.00,,$16.19,
Delivery,2022-03-06,#82316,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.97,-$7.39,-$3.00,$0.00,-$1.78,$1.78,$0.00,,$0.00,,$15.58,
Delivery,2022-03-06,#3ebffab6,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-06,#d916cf49,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$9.99,-$4.00,$0.00,$0.00,$0.00,$0.77,$0.77,,$0.00,,$6.76,
Delivery,2022-03-06,#371555c0,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-03-06,#d14fdac1,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$8.40,$0.00,$0.00,$0.00,$1.63,$1.63,,$0.00,,$14.22,
Delivery,2022-03-07,#FF021,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$14.20,-$5.68,$0.00,$0.00,-$1.10,$1.10,$0.00,,$0.00,,$8.52,
Delivery,2022-03-07,#A3A88,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$10.79,
Delivery,2022-03-07,#657318186561690,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-07,#C0611,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-03-07,#029218182278636,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$32.95,-$13.18,$0.00,$0.00,$0.00,$2.55,$2.55,,$0.00,,$22.32,
Delivery,2022-03-07,#e88cfc9c,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$68.45,-$19.09,-$8.00,$0.00,$0.00,$4.68,$4.68,,$0.00,,$46.05,
Delivery,2022-03-07,#267618196788982,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-07,#59880,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.94,-$5.78,-$3.00,$0.00,-$1.47,$1.47,$0.00,,$0.00,,$13.16,
Delivery,2022-03-07,#F2287,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,-$1.16,$1.16,$0.00,,$0.00,,$10.79,
Delivery,2022-03-07,#6AF06,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.99,-$9.60,$0.00,$0.00,-$1.86,$1.86,$0.00,,$0.00,,$14.39,
Delivery,2022-03-07,#d8b4f8ad,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.19,$0.00,$0.00,$0.00,$1.39,$1.39,,$0.00,,$12.18,
Delivery,2022-03-07,#5F167,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$8.37,
Delivery,2022-03-07,#5D655,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
