"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-879418418242395","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/29/22","6:46 PM","19.52","0.00","0","1.51","0","21.03","-2.93","0","-0.94","0","0"
"O-538818306963446","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/18/22","9:02 PM","30.23","6.99","0","2.88","5.00","45.10","-5.58","0","-1.68","0","0"
"O-189118205436921","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/8/22","7:18 PM","24.51","0.00","0","1.90","0","26.41","-3.68","0","-1.11","0","0"
"O-433918406103289","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/22","6:19 PM","28.47","0.00","0","2.21","0","30.68","-4.27","-2.85","-1.24","0","0"
"O-074318328305244","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/22","5:31 PM","28.98","0.00","0","2.25","0","31.23","-4.35","0","-1.25","0","0"
"O-143218247766318","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/22","6:00 PM","39.43","0.00","0","3.06","0","42.49","-5.91","0","-1.60","0","0"
"O-063218357446590","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/23/22","6:31 PM","10.49","0.00","0","0.81","0","11.30","-1.57","0","-0.64","0","0"
"O-138618244317987","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/22","8:17 PM","13.74","0.00","0","1.06","0","14.80","-2.06","-1.37","-0.75","0","0"
"O-602018377201341","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/25/22","6:31 PM","43.46","0.00","0","3.37","0","46.83","-6.52","-4.35","-1.73","0","0"
"O-230218138219540","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/2/22","1:29 PM","17.48","0.00","0","1.35","0","18.83","-2.62","0","-0.87","0","0"
"O-602018307291617","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/22","3:13 PM","47.65","0.00","0","3.69","0","51.34","-7.15","0","-1.87","0","0"
"O-130918178542210","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-130918178542210","received pepperoni instead of Meat Lover Pizza  side ranch - missing item","3/5/22","5:46 PM","-19.74","0.00","0","-1.53","0","-21.27","0","0","0","0","0"
"O-541118411234380","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/29/22","7:15 PM","66.45","4.99","0","4.92","7.10","83.46","-10.72","0","-2.60","0","-8.00"
"O-130918178542210","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/22","5:46 PM","33.52","1.99","0","2.75","1.00","39.26","-5.33","0","-1.50","0","0"
"O-882118357496520","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/23/22","8:26 PM","53.96","8.99","0","4.88","5.81","73.64","-9.44","0","-2.55","0","0"
"O-853318147826942","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/2/22","7:58 PM","13.78","0.00","0","1.07","0","14.85","-2.07","0","-0.75","0","0"
"O-363518326059952","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/22","7:21 PM","37.97","0.00","0","2.94","6.13","47.04","-5.70","0","-1.73","0","0"
"O-343218200562511","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/9/22","1:18 PM","10.99","0.00","0","0.85","0","11.84","-1.65","0","-0.66","0","0"
"O-882118417499703","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/29/22","5:15 PM","50.85","0.00","0","3.94","0","54.79","-7.63","0","-1.97","0","0"
"O-817418314655320","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/22","3:01 PM","33.93","0.00","0","2.01","0","35.94","-5.09","-3.39","-1.15","0","-8.00"
"O-431518221376331","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/11/22","11:20 AM","3.49","0.00","0","0.27","0","3.76","-0.52","0","-0.41","0","0"
"O-782518247050283","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/22","6:44 PM","55.95","0.00","0","4.34","0","60.29","-8.39","0","-2.14","0","0"
"O-278918121010075","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/1/22","3:32 PM","60.93","0.00","0","4.72","0","65.65","-9.14","0","-2.30","0","0"
"O-786018229604214","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/10/22","8:32 PM","14.99","0.00","0","1.16","2.42","18.57","-2.25","0","-0.87","0","0"
"O-879418308240107","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/18/22","6:52 PM","26.33","2.99","0","2.27","4.73","36.32","-4.40","0","-1.41","0","0"
"O-074318348365838","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/23/22","4:43 PM","32.77","1.99","0","2.69","0","37.45","-5.21","0","-1.44","0","0"
"O-882118287490251","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/17/22","11:21 AM","12.97","0.00","0","1.01","0","13.98","-1.95","0","-0.73","0","0"
"O-959718406114589","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/22","5:22 PM","27.98","0.00","0","2.17","1.00","31.15","-4.20","0","-1.25","0","0"
"O-150618211240584","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/9/22","6:05 PM","26.98","0.00","0","2.09","0","29.07","-4.05","0","-1.19","0","0"
"O-074318308304971","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/18/22","9:17 PM","27.56","1.99","0","2.29","3.18","35.02","-4.43","0","-1.37","0","0"
"O-840818250606768","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/13/22","6:49 PM","47.33","4.99","0","4.06","5.10","61.48","-7.85","0","-2.18","0","0"
