"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-038118022137784","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/18/22","7:13 PM","22.97","0.00","0","1.78","0","24.75","-4.59","-2.30","-1.05","0","0"
"O-973818107826952","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/26/22","8:55 PM","23.73","0.00","0","1.84","0","25.57","-4.75","-2.37","-1.08","0","0"
"O-392817870755529","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/3/22","6:45 PM","35.97","0.00","0","2.79","0","38.76","-7.19","-3.60","-1.48","0","0"
"O-210117885632619","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/4/22","5:42 PM","26.97","0.00","0","2.09","0","29.06","-5.39","-2.70","-1.19","0","0"
"O-961517952871024","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/11/22","7:18 PM","35.97","0.00","0","2.79","0","38.76","-7.19","-3.60","-1.48","0","0"
"O-604418052971041","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/21/22","6:56 PM","60.90","0.00","0","4.72","0","65.62","-12.18","-6.09","-2.30","0","0"
"O-685618103329029","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/26/22","6:15 PM","46.93","0.00","0","3.64","0","50.57","-9.39","-4.69","-1.84","0","0"
"O-973818027825579","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/18/22","7:30 PM","20.98","0.00","0","1.63","0","22.61","-4.20","-2.10","-0.99","0","0"
"O-057318041025653","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/21/22","12:02 PM","28.39","0.00","0","2.20","0","30.59","-5.68","-2.84","-1.23","0","0"
"O-413017972590110","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/14/22","5:30 PM","82.93","0.00","0","6.43","0","89.36","-16.59","-8.29","-3.03","0","0"
"O-685618043341808","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/21/22","11:54 AM","25.55","0.00","0","1.98","0","27.53","-5.11","-2.56","-1.14","0","0"
"O-940318061166314","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/22/22","6:04 PM","15.53","0.00","0","1.20","0","16.73","-3.11","-1.55","-0.81","0","0"
"O-685617953328936","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/11/22","6:13 PM","42.19","0.00","0","3.27","0","45.46","-8.44","-4.22","-1.69","0","0"
"O-961517912872541","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/7/22","5:48 PM","32.71","0.00","0","2.54","0","35.25","-6.54","-3.27","-1.38","0","0"
