Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-02-21,#139C8,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.98,-$4.39,-$4.40,$0.00,-$1.36,$1.36,$0.00,,$0.00,,$13.19,
Delivery,2022-02-21,#A8EE2,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$51.95,-$20.78,$0.00,$0.00,-$4.03,$4.03,$0.00,,$0.00,,$31.17,
Delivery,2022-02-21,#2C312,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.98,-$10.79,$0.00,$0.00,-$2.09,$2.09,$0.00,,$0.00,,$16.19,
Delivery,2022-02-21,#df48a1bf,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-02-21,#571F4,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.98,-$4.39,-$4.40,$0.00,-$1.36,$1.36,$0.00,,$0.00,,$13.19,
Delivery,2022-02-21,#9E4FD,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.45,-$6.98,$0.00,$0.00,-$1.35,$1.35,$0.00,,$0.00,,$10.47,
Delivery,2022-02-21,#c5ae4e26,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-21,#902618057555410,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$23.49,-$9.39,$0.00,$0.00,$0.00,$1.82,$1.82,,$0.00,,$15.92,
Delivery,2022-02-21,#513a1589,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.00,-$8.00,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.55,
Delivery,2022-02-22,#0DA84,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-02-22,#E8448,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.00,-$7.20,$0.00,$0.00,-$1.40,$1.40,$0.00,,$0.00,,$10.80,
Delivery,2022-02-22,#623f14e0,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-22,#90a5ff93,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$10.47,
Delivery,2022-02-22,#B1DD8,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.95,-$6.38,$0.00,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$9.57,
Delivery,2022-02-22,#3cafd3f8,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.00,-$8.00,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.55,
Delivery,2022-02-22,#c920c983,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$39.85,-$10.65,-$5.00,$0.00,$0.00,$2.70,$2.70,,$0.00,,$26.91,
Delivery,2022-02-22,#8c99203d,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.96,-$8.00,-$6.38,$0.00,$0.00,$2.37,$2.37,,$0.00,,$23.95,
Delivery,2022-02-22,#6CB1A,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.49,-$7.59,-$1.40,$0.00,-$1.63,$1.63,$0.00,,$0.00,,$13.50,
Delivery,2022-02-22,#c6505d24,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.97,-$12.39,$0.00,$0.00,$0.00,$2.40,$2.40,,$0.00,,$20.98,
Delivery,2022-02-22,#18C63,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-02-22,#55aa5bd2,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.97,-$13.19,$0.00,$0.00,$0.00,$2.56,$2.56,,$0.00,,$22.34,
Delivery,2022-02-22,#39c0080d,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$17.60,
Delivery,2022-02-22,#685618063326580,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$14.95,-$0.83,-$5.00,$0.00,$0.00,$0.77,$0.77,,$0.00,,$9.89,
