"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-728514520715151","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/6/21","3:10 PM","31.96","0","4.99","2.87","5.97","45.79","-9.24","0","-1.70","0"
"O-933614616275318","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/15/21","4:02 PM","11.99","0","0.00","0.93","0","12.92","-3.00","0","-0.69","0"
"O-222414490491552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/2/21","5:41 PM","23.98","0","4.99","2.25","0","31.22","-7.24","0","-1.25","0"
"O-899414671807595","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/21","7:51 PM","17.77","0","2.99","1.61","4.47","26.84","-5.19","0","-1.12","0"
"O-432214590255140","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/21","6:21 PM","17.98","0","0.00","1.39","1.94","21.31","-4.50","0","-0.95","0"
"O-396814668026868","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","7:57 PM","57.69","0","8.99","5.17","7.19","79.04","-16.67","0","-2.71","0"
"O-222414660434776","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","7:02 PM","21.99","0","0.00","1.70","0","23.69","-5.50","0","-1.02","0"
"O-097814658489876","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/18/21","7:40 PM","31.47","0","4.99","2.83","6.78","46.07","-9.12","0","-1.71","0"
"O-899414741804714","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/27/21","7:14 PM","19.98","0","0.00","1.55","2.15","23.68","-5.00","0","-1.02","0"
"O-997214624747250","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/15/21","8:11 PM","26.55","0","2.99","2.29","6.36","38.19","-7.39","0","-1.46","0"
