Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-297329481885271,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/09/25,"8:14 PM PDT, UTC-07:00",13.99,0,0,0,n/a,1.08,0,1.53,16.6,-2.1,n/a,0,-0.81,0,0,0,n/a
MARKETPLACE,O-741929791841176,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/10/25,"9:33 PM PDT, UTC-07:00",15.19,8.99,0,0,n/a,1.88,0,2,28.06,-3.63,n/a,0,-1.16,0,0,0,n/a
MARKETPLACE,O-528129388061739,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/30/25,"5:54 PM PDT, UTC-07:00",41.43,0,0,0,n/a,3.21,0,0,44.64,-6.21,n/a,-4.14,-1.66,0,0,0,n/a
MARKETPLACE,O-168830088937257,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/08/25,"9:34 PM PDT, UTC-07:00",16.99,4.99,0,0,n/a,1.71,0,2.77,26.46,-3.3,n/a,0,-1.11,0,0,0,n/a
MARKETPLACE,O-108529020097572,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/22/25,"9:57 PM PST, UTC-08:00",13.99,0,0,0,n/a,0.46,0,0,14.45,-2.1,n/a,-1.4,-0.5,0,0,-8,n/a
MARKETPLACE,O-892130123844757,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/13/25,"6:00 PM PDT, UTC-07:00",35.47,8.99,0,0,n/a,2.83,0,7.82,55.11,-6.67,n/a,0,-1.74,0,0,-8,n/a
MARKETPLACE,O-066628889070101,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/08/25,"6:25 PM PST, UTC-08:00",32.99,4.99,0,0,n/a,2.95,0,5.6,46.53,-5.7,n/a,0,-1.72,0,0,0,n/a
MARKETPLACE,O-230030072823184,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/07/25,"9:52 PM PDT, UTC-07:00",22.99,0,0,0,n/a,1.55,0,0,24.54,-3.45,n/a,0,-0.96,0,0,-3,n/a
MARKETPLACE,O-504228586414099,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/09/25,"5:19 PM PST, UTC-08:00",12.74,0,0,0,n/a,0.99,0,0,13.73,-1.91,n/a,-1.27,-0.72,0,0,0,n/a
MARKETPLACE,O-332929284933556,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/20/25,"7:23 PM PDT, UTC-07:00",23.97,2.99,0,0,n/a,2.09,0,4.75,33.8,-4.04,n/a,0,-1.33,0,0,0,n/a
