"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-518516084139413","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","9:22 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-199316281389251","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"8/28/21","7:27 PM","25.17","0.00","0","1.95","0","27.12","-3.78","0","0","0","0"
"O-252516187736591","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"8/19/21","5:30 PM","18.98","0.00","0","1.47","0","20.45","-2.85","0","0","0","0"
"O-305416140526058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","4:50 PM","22.58","0.00","0","1.75","3.64","27.97","-3.39","0","-1.15","0","0"
"O-419916307686575","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/30/21","6:14 PM","26.98","0.00","0","2.09","0","29.07","-4.05","0","-1.19","0","0"
"O-765616138819198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","7:00 PM","55.92","6.99","0","4.49","6.74","74.14","-9.44","0","-2.41","0","-5.00"
"O-112216256990559","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","8:28 PM","43.94","8.99","0","3.49","3.00","59.42","-7.94","0","-1.87","0","-8.00"
"O-551016007254959","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","4:49 PM","25.72","0.00","0","1.99","0","27.71","-3.86","0","-1.15","0","0"
"O-168916280280836","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","7:21 PM","59.92","4.99","0","5.03","13.99","83.93","-9.74","0","-2.86","0","0"
"O-825416038039159","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","3:55 PM","33.98","0.00","0","2.63","0","36.61","-5.10","0","-1.42","0","0"
"O-261016196555561","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/19/21","6:20 PM","27.96","0.00","0","2.17","3.00","33.13","-4.19","0","-1.31","0","0"
"O-690116012730013","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","6:45 PM","56.42","8.99","0","5.07","3.00","73.48","-9.81","0","-2.54","0","0"
"O-231116292501711","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/29/21","6:56 PM","42.11","0.00","0","3.26","0","45.37","-6.32","0","-1.68","0","0"
"O-383916242430873","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","4:52 PM","16.98","6.99","0","1.86","4.58","30.41","-3.60","0","-1.23","0","0"
"O-168916260236015","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/27/21","5:07 PM","79.07","6.99","0","6.67","13.91","106.64","-12.91","0","-3.55","0","0"
"O-836516259425686","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/31/21","11:30 AM","476.93","19.99","0","38.51","50.00","585.43","-86.96","0","-18.16","0","0"
"O-292816043132447","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","6:39 PM","23.96","8.99","0","2.17","7.02","42.14","-4.94","0","-1.43","0","-5.00"
"O-199316281396609","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","9:48 PM","27.76","6.99","0","2.69","7.49","44.93","-5.21","0","-1.67","0","0"
"O-754316150997328","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","6:27 PM","52.52","6.99","0","4.22","11.24","74.97","-8.93","0","-2.43","0","-5.00"
"O-648416240448715","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/24/21","7:11 PM","55.25","0.00","0","4.28","0","59.53","-8.29","0","-2.12","0","0"
"O-464616302392326","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/31/21","5:28 PM","83.98","0.00","0","6.51","0","90.49","-16.80","-8.40","-3.06","0","0"
"O-394116293225161","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/30/21","11:40 AM","20.98","0.00","0","1.63","0","22.61","-4.20","-2.10","-0.99","0","0"
"O-785016074672259","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/8/21","2:14 PM","71.97","0.00","0","5.58","0","77.55","-14.39","-7.20","-2.67","0","0"
"O-244716030000942","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/4/21","4:01 PM","21.46","0.00","0","1.66","0","23.12","-4.29","-2.15","-1.01","0","0"
"O-085316107756374","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/10/21","6:59 PM","41.24","0.00","0","3.20","0","44.44","-8.25","-4.12","-1.66","0","0"
"O-904616219832050","The Wing Stop - Alton Pkwy","Prepaid Order",,"8/22/21","2:06 PM","18.74","0.00","0","1.45","0","20.19","-3.75","-1.87","-0.92","0","0"
