"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-503417377210585","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/15/21","8:37 PM","24.93","0.00","0","1.93","0","26.86","-3.74","-2.49","-1.12","0","0"
"O-913217355238130","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/14/21","11:49 AM","45.16","6.99","0","3.42","8.34","63.91","-7.82","0","-2.01","0","-8.00"
"O-693517254569172","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","7:16 PM","49.29","6.99","0","4.36","10.62","71.26","-8.44","0","-2.47","0","0"
"O-405717408710527","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/19/21","1:51 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-581917356790597","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/14/21","1:00 PM","24.37","1.99","0","2.04","4.26","32.66","-3.95","0","-1.30","0","0"
"O-926717320156600","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/10/21","7:00 PM","31.96","0.00","0","2.48","0","34.44","-6.39","-3.20","-1.35","0","0"
"O-347817530224833","The Wing Shop - Alton Pkwy","Adjustment of O-347817530224833","Tip increased by diner via self-service - Tip updated by diner via help interaction","12/31/21","7:44 PM","0","0.00","0","0.00","0","0.00","0","0","0","0","0"
"O-585117322667485","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/11/21","12:19 PM","45.48","0.00","0","3.52","0","49.00","-9.10","-4.55","-1.79","0","0"
"O-347817530224833","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/31/21","7:44 PM","29.99","0.00","0","2.32","0","32.31","-6.00","-3.00","-1.29","0","0"
"O-536217299683110","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/7/21","8:10 PM","30.46","0.00","0","2.36","0","32.82","-6.09","-3.05","-1.30","0","0"
"O-680817418471922","The Wing Shop - Alton Pkwy","Prepaid Order",,"12/20/21","1:31 PM","29.99","0.00","0","2.32","0","32.31","-6.00","-3.00","-1.29","0","0"
