transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1686403396057179422,2023-03-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-I1D0Z3W6U7V2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,4947.38,,,4947.38,Business Advantage Chk (602),,,,,,4947.38,,,2023-03-04,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1695393515049068534,2023-03-15,Slice Sales,SLICE DES:SLICE15639 ID:ST-D2Z2U5M4L2C1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,1936.36,,,1936.36,Business Advantage Chk (602),,,,,,1936.36,,,2023-03-17,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1710082647536969156,2023-04-04,Slice Sales,SLICE DES:SLICE15639 ID:ST-B8D8J6B6Q3R1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,3209.72,,,3209.72,Business Advantage Chk (602),,,,,,3209.72,,,2023-04-06,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1730605952056436443,2023-05-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-Q7H7D4B3L9W2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5195.33,,,5195.33,Business Advantage Chk (602),,,,,,5195.33,,,2023-05-04,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1754887365668644057,2023-06-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-S3C5J5J9T1S9 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5901.4,,,5901.4,Business Advantage Chk (602),,,,,,5901.4,,,2023-06-07,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1776405895119381541,2023-07-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-D9A3Z5K0I0D4 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5178.54,,,5178.54,Business Advantage Chk (602),,,,,,5178.54,,,2023-07-06,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1797620983243220213,2023-08-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-S5K4L0E5H7C3 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5569.52,,,5569.52,Business Advantage Chk (602),,,,,,5569.52,,,2023-08-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1822209301352031640,2023-09-06,Slice Sales,SLICE DES:SLICE15639 ID:ST-S8O5N4F6N5A0 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,6244.69,,,6244.69,Business Advantage Chk (602),,,,,,6244.69,,,2023-09-08,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1841915828258219076,2023-10-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-T1G9R9N7F9E6 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,4810.38,,,4810.38,Business Advantage Chk (602),,,,,,4810.38,,,2023-10-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1863888710085388195,2023-11-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-L9D9C2X2I7B8 INDN:ACE AN AROMA INC CO ID:XXXXX48598 CCD,,5716.69,,,5716.69,Business Advantage Chk (602),,,,,,5716.69,,,2023-11-04,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
