"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-716513961046678","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/21","9:45 PM","23.95","0","6.99","2.40","6.67","40.01","-7.74","0","-1.52","0","0"
"O-974914045836892","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/16/21","7:22 PM","33.97","0","0.00","2.63","0","36.60","-8.49","0","-1.42","0","0"
"O-978014105218020","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/23/21","11:56 AM","63.21","0","4.99","5.29","11.02","84.51","-17.05","0","-2.88","0","0"
"O-589714157074422","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/28/21","12:42 PM","31.98","0","1.99","2.63","5.00","41.60","-8.49","0","-1.57","0","0"
"O-284413978811543","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/10/21","12:11 PM","41.13","0","0.00","3.19","0","44.32","-10.28","0","-1.65","0","0"
"O-096514138522381","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/21","3:35 PM","15.76","0","1.99","1.37","1.00","20.12","-4.44","0","-0.91","0","0"
"O-190813970532147","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/10/21","12:55 PM","24.72","0","0.00","1.92","3.99","30.63","-6.18","0","-1.23","0","0"
"O-367014096248562","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/21","1:19 PM","19.24","0","2.99","1.72","5.99","29.94","-5.56","0","-1.21","0","0"
"O-796813966936326","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/21","7:33 PM","53.46","0","0.00","4.14","8.64","66.24","-13.37","0","-2.32","0","0"
"O-325614042829160","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/16/21","5:28 PM","66.46","0","4.99","5.54","10.00","86.99","-17.86","0","-2.95","0","0"
"O-190813970572146","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/9/21","6:50 PM","32.96","0","1.99","2.70","5.65","43.30","-8.74","0","-1.62","0","0"
"O-672414129375783","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/24/21","5:50 PM","60.47","0","4.99","5.08","9.00","79.54","-16.37","0","-2.73","0","0"
"O-241914088542020","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/20/21","9:19 PM","15.99","0","0.00","1.24","2.00","19.23","-4.00","0","-0.89","0","0"
"O-796814026943366","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/15/21","12:40 PM","21.48","0","0.00","1.66","0","23.14","-4.30","-2.15","-1.01","0","0"
"O-534514050058472","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/17/21","8:15 PM","42.48","0","0.00","3.29","0","45.77","-8.50","-4.25","-1.70","0","0"
"O-262013984716153","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/11/21","11:30 AM","23.98","0","0.00","1.86","0","25.84","-4.80","-2.40","-1.09","0","0"
"O-104313956990485","The Wing Stop - Alton Pkwy","Adjustment of O-104313956990485","QUALITY_COOKING - Refund requested by diner via help interaction","1/7/21","5:50 PM","-10.99","0","0.00","-0.85","0","-11.84","0","0","0","0","0"
"O-336114154541858","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/28/21","2:55 PM","35.48","0","0.00","2.75","0","38.23","-7.10","-3.55","-1.47","0","0"
"O-844914081462256","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/21/21","11:20 AM","15.49","0","0.00","1.20","0","16.69","-3.10","-1.55","-0.81","0","0"
"O-534514050040022","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/17/21","5:05 PM","21.98","0","0.00","1.70","0","23.68","-4.40","-2.20","-1.02","0","0"
"O-394913897674049","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/1/21","8:15 PM","47.96","0","0.00","3.72","0","51.68","-9.59","-4.80","-1.88","0","0"
"O-452214104980368","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/23/21","12:20 PM","10.49","0","0.00","0.81","0","11.30","-2.10","-1.05","-0.64","0","0"
"O-841214085917271","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/20/21","5:50 PM","14.74","0","0.00","1.14","0","15.88","-2.95","-1.47","-0.78","0","0"
"O-835013966561547","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/8/21","6:35 PM","28.99","0","0.00","2.25","0","31.24","-5.80","-2.90","-1.25","0","0"
"O-212713998479875","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/11/21","8:40 PM","27.97","0","0.00","2.17","0","30.14","-5.59","-2.80","-1.22","0","0"
"O-695714008337067","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/13/21","12:15 PM","10.49","0","0.00","0.81","0","11.30","-2.10","-1.05","-0.64","0","0"
"O-961614198909205","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/31/21","7:05 PM","19.73","0","0.00","1.53","0","21.26","-3.95","-1.97","-0.95","0","0"
"O-854913947057131","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/6/21","5:50 PM","26.99","0","0.00","2.09","0","29.08","-5.40","-2.70","-1.19","0","0"
"O-716513971052289","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/9/21","6:15 PM","31.95","0","0.00","2.48","0","34.43","-6.39","-3.20","-1.35","0","0"
"O-207614198698555","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/31/21","7:35 PM","10.49","0","0.00","0.81","0","11.30","-2.10","-1.05","-0.64","0","0"
"O-358514024799876","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/14/21","7:55 PM","20.99","0","0.00","1.63","0","22.62","-4.20","-2.10","-0.99","0","0"
"O-104313956990485","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/7/21","5:45 PM","30.97","0","0.00","2.40","0","33.37","-6.19","-3.10","-1.32","0","0"
"T-AwAAEsgrRFPwAFObEeuoN01hOODk7w","The Wing Stop - Alton Pkwy","Account Adjustment","85491394-7057131 KS","1/10/21","3:26 PM","0","0","0.00","0.00","0","26.99","0","0","0","0","0"
"O-854913937088648","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/5/21","8:40 PM","18.46","0","0.00","1.43","0","19.89","-3.69","-1.85","-0.91","0","0"
"O-226513914095697","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/3/21","8:50 PM","10.99","0","0.00","0.85","0","11.84","-2.20","-1.10","-0.66","0","0"
"O-786113919323111","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/3/21","5:20 PM","36.96","0","0.00","2.86","0","39.82","-7.39","-3.70","-1.51","0","0"
"O-850014038501524","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/15/21","6:05 PM","13.49","0","0.00","1.05","0","14.54","-2.70","-1.35","-0.74","0","0"
"O-096414149229646","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/26/21","6:40 PM","21.98","0","0.00","1.70","0","23.68","-4.40","-2.20","-1.02","0","0"
"T-AwAAEsgr_rHnsFdZEeuaryPxOC3j2Q","The Wing Stop - Alton Pkwy","Account Adjustment","10431395-6990485 DR ","1/15/21","9:49 AM","0","0","0.00","0.00","0","10.99","0","0","0","0","0"
"O-279613896995514","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/1/21","5:30 PM","27.74","0","0.00","2.15","0","29.89","-5.55","-2.77","-1.21","0","0"
"O-122113883214884","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/1/21","3:00 PM","92.94","0","0.00","7.20","0","100.14","-18.59","-9.29","-3.35","0","0"
"O-854913947057131","The Wing Stop - Alton Pkwy","Adjustment of O-854913947057131","Refund due to order adjustment1 Family Wing Combo
 food quality ","1/6/21","6:08 PM","-26.99","0","0.00","-2.09","0","-29.08","0","0","0","0","0"
"O-453414065921000","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/19/21","12:15 PM","23.96","0","0.00","1.86","0","25.82","-4.79","-2.40","-1.09","0","0"
"T-AwAAEsgraBwscGDrEeubRImtU67bpQ","The Wing Stop - Alton Pkwy","Account Adjustment","97801411-5211840 EC","1/27/21","2:02 PM","0","0","0.00","0.00","0","13.49","0","0","0","0","0"
"O-273313966735504","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/9/21","1:15 PM","24.97","0","0.00","1.94","0","26.91","-4.99","-2.50","-1.12","0","0"
"O-536213932318991","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/5/21","9:05 PM","15.49","0","0.00","1.20","0","16.69","-3.10","-1.55","-0.81","0","0"
"O-969814027443759","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/14/21","5:45 PM","30.95","0","0.00","2.40","0","33.35","-6.19","-3.10","-1.32","0","0"
"O-208814032752466","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/15/21","6:30 PM","8.99","0","0.00","0.70","0","9.69","-1.80","-0.90","-0.60","0","0"
"O-978014115211840","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/24/21","11:45 AM","26.22","0","0.00","2.03","0","28.25","-5.24","-2.62","-1.16","0","0"
"O-073614159394687","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/27/21","9:35 PM","13.49","0","0.00","1.05","0","14.54","-2.70","-1.35","-0.74","0","0"
"O-841214075958380","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/20/21","3:10 PM","37.98","0","0.00","2.94","0","40.92","-7.60","-3.80","-1.55","0","0"
"O-978014115211840","The Wing Stop - Alton Pkwy","Adjustment of O-978014115211840","Refund due to an item missing from your order","1/24/21","11:45 AM","-13.49","0","0.00","-1.04","0","-14.53","0","0","0","0","0"
"O-903114043530078","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/16/21","8:10 PM","15.49","0","0.00","1.20","0","16.69","-3.10","-1.55","-0.81","0","0"
"O-852913934711928","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/5/21","6:20 PM","39.72","0","0.00","3.08","0","42.80","-7.94","-3.97","-1.61","0","0"
"O-559214167228078","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/29/21","2:05 PM","27.74","0","0.00","2.15","0","29.89","-5.55","-2.77","-1.21","0","0"
"O-277013917841617","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/3/21","7:30 PM","20.99","0","0.00","1.63","0","22.62","-4.20","-2.10","-0.99","0","0"
"O-486613939300713","The Wing Stop - Alton Pkwy","Prepaid Order",,"1/6/21","12:05 PM","11.24","0","0.00","0.87","0","12.11","-2.25","-1.12","-0.67","0","0"
"O-246914158409978","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/27/21","7:00 PM","46.96","0","0.00","3.64","0","50.60","-9.39","-4.70","-1.84","0","0"
"O-166713884735358","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/1/21","3:40 PM","60.94","0","0.00","4.72","0","65.66","-12.19","-6.09","-2.30","0","0"
"O-062514033116676","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/16/21","4:40 PM","43.95","0","0.00","3.41","0","47.36","-8.79","-4.40","-1.74","0","0"
"O-338814087725749","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/20/21","8:40 PM","36.71","0","0.00","2.85","0","39.56","-7.34","-3.67","-1.51","0","0"
