Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,1/14/21,#50B8D,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$1.39,,,$12.18,
Delivery,1/14/21,#5E586,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.48,-$4.47,$0.00,$0.00,,,$14.01,
Delivery,1/14/21,#42316,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.98,-$7.00,$0.00,$0.00,,,$22.98,
Reimbursement,1/14/21,,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$11.38,,,,-$11.38,UE Integration Error
Reimbursement,1/14/21,,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$20.98,,,,-$20.98,UE Integration Error
Reimbursement,1/14/21,,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$43.55,,,,-$43.55,UE Integration Error
Reimbursement,1/14/21,,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$83.36,,,,-$83.36,UE Integration Error
Reimbursement,1/14/21,,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$73.54,,,,-$73.54,UE Integration Error
Reimbursement,1/14/21,,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$18.95,,,,-$18.95,UE Integration Error
Reimbursement,1/14/21,,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,-$14.11,,,,-$14.11,UE Integration Error
Delivery,1/14/21,#578214015757128,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$26.93,-$10.77,$0.00,$2.09,,,$18.25,
Delivery,1/14/21,#6C0BE,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.97,-$8.49,$0.00,$0.00,,,$22.48,
Delivery,1/14/21,#2377E,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.98,-$6.30,$0.00,$0.00,,,$21.68,
Delivery,1/14/21,#232,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$17.98,-$7.19,$0.00,$1.40,,,$12.19,
Delivery,1/14/21,#94d9d601,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$1.01,,,$8.80,
Delivery,1/14/21,#C7C21,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$5.40,$0.00,$0.00,,,$18.58,
Delivery,1/14/21,#160,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$31.97,-$12.79,$0.00,$2.48,,,$21.66,
Delivery,1/14/21,#03121,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.98,-$7.50,$0.00,$0.00,,,$22.48,
Delivery,1/14/21,#014e8dd6,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$2.01,,,$17.60,
Delivery,1/14/21,#158,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$24.44,-$9.78,$0.00,$1.90,,,$16.56,
Delivery,1/14/21,#B0A84,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.97,-$8.49,$0.00,$0.00,,,$22.48,
Delivery,1/14/21,#A086F,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.98,-$6.80,$0.00,$0.00,,,$21.18,
Delivery,1/14/21,#A9F24,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.47,-$8.37,$0.00,$0.00,,,$24.10,
Delivery,1/14/21,#d6211080,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$1.08,,,$9.47,
Delivery,1/13/21,#c4162d37,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.95,-$6.38,$0.00,$1.24,,,$10.81,
Delivery,1/13/21,#fa2b2770,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
