"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-021713520397903","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/25/20","5:45 PM","22.01","0","2.99","1.94","4.04","30.98","-3.13","-1.24","0"
"O-340413487816446","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","9:46 PM","24.33","0","4.99","2.28","3.16","34.76","-3.67","-1.36","0"
"O-275413526835859","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/25/20","6:04 PM","34.45","0","2.99","2.90","7.38","47.72","-4.68","-1.76","0"
"W-453813512317936","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","5:48 PM","51.25","0","0.00","3.97","0","55.22","0","-1.98","0"
"O-769413553865613","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/20","5:40 PM","25.48","0","2.99","2.20","4.60","35.27","-3.56","-1.38","0"
"O-417213270528228","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/20","10:12 PM","19.83","0","2.99","1.77","3.69","28.28","-2.85","-1.16","0"
"W-458813397926345","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","3:51 PM","24.99","0","0.00","1.94","0","26.93","0","-1.12","0"
"O-785913389842882","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/20","5:10 PM","21.98","0","4.99","2.09","4.94","34.00","-3.37","-1.34","0"
"O-119513527153864","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/25/20","6:30 PM","36.94","0","2.99","3.09","4.00","47.02","-4.99","-1.73","0"
"O-492513439334950","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/17/20","4:35 PM","25.97","0","4.99","2.40","3.34","36.70","-3.87","-1.42","0"
"O-053313299233170","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/2/20","6:54 PM","25.74","0","2.99","2.22","4.64","35.59","-3.59","-1.39","0"
"W-456313399427487","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","11:45 AM","69.56","0","2.99","5.62","6.96","85.13","0","-2.90","0"
"O-582013344838428","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","6:15 PM","27.97","0","2.99","2.40","6.67","40.03","-3.87","-1.52","0"
"O-918613578061839","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/20","6:13 PM","22.23","0","2.99","1.95","4.08","31.25","-3.15","-1.25","0"
"O-045513289733370","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/2/20","12:15 PM","18.97","0","0.00","1.47","0","20.44","-2.37","-0.92","0"
"O-466613292096917","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/2/20","7:19 PM","42.23","0","0.00","3.27","4.00","49.50","-5.28","-1.81","0"
"W-755513372640155","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/20","4:16 PM","32.97","0","2.99","2.79","7.75","46.50","0","-1.72","0"
"O-654413330916688","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","3:26 PM","26.32","0","2.99","2.27","3.16","34.74","-3.66","-1.36","0"
"O-208813418376404","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","8:18 PM","48.96","0","2.99","4.02","8.40","64.37","-6.49","-2.26","0"
"W-035213409719504","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","6:56 PM","45.94","0","0.00","3.56","7.43","56.93","0","-2.04","0"
"W-534313549304362","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/20","5:38 PM","58.43","0","0.00","4.53","3.15","66.11","0","-2.32","0"
"O-271013360044222","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/20","8:15 PM","19.98","0","2.99","1.78","3.71","28.46","-2.87","-1.17","0"
"O-594513496908948","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","6:16 PM","24.97","0","2.99","2.17","6.03","36.16","-3.50","-1.40","0"
"O-456313409428842","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","8:45 PM","34.97","0","0.00","2.71","0","37.68","-4.37","-1.45","0"
"W-872813495876564","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","6:26 PM","29.72","0","4.99","2.69","4.74","42.14","0","-1.59","0"
"O-485113505817301","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/23/20","6:05 PM","37.97","0","2.99","3.17","6.62","50.75","-5.12","-1.85","0"
"O-440213568858431","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/20","6:00 PM","61.96","0","2.99","5.03","7.00","76.98","-8.12","-2.65","0"
"O-467813284120289","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","4:52 PM","26.22","0","2.99","2.26","6.29","37.76","-3.65","-1.45","0"
"W-716413387826198","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/20","5:31 PM","36.46","0","0.00","2.83","3.00","42.29","0","-1.59","0"
"O-045513279730072","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","11:49 AM","16.98","0","2.99","1.55","5.00","26.52","-2.50","-1.11","0"
"W-506613482133169","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","6:26 PM","32.98","0","4.99","2.95","5.00","45.92","0","-1.70","0"
"W-152013572057559","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/20","8:45 PM","24.75","0","0.00","1.92","0","26.67","0","-1.11","0"
"O-719113402076763","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","5:48 PM","29.98","0","2.99","2.55","2.00","37.52","-4.12","-1.44","0"
"O-466613332006407","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","1:09 PM","14.74","0","0.00","1.14","0","15.88","-1.84","-0.78","0"
"O-954113491116190","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","4:59 PM","12.99","0","0.00","1.01","0","14.00","-1.62","-0.73","0"
"O-445113453077899","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/18/20","7:53 PM","27.06","0","2.99","2.33","3.50","35.88","-3.76","-1.39","0"
"O-727513336541520","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/20","6:38 PM","13.99","0","0.00","1.08","0","15.07","-1.75","-0.76","0"
"O-304213444158199","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/18/20","2:05 PM","43.96","0","2.99","3.64","7.59","58.18","-5.87","-2.07","0"
"O-195313495943230","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/23/20","3:43 PM","28.06","0","2.99","2.40","3.50","36.95","-3.88","-1.43","0"
"O-939913558361548","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/20","4:29 PM","43.69","0","0.00","3.39","4.71","51.79","-5.46","-1.88","0"
"O-654413340968638","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","6:41 PM","23.84","0","4.99","2.24","6.21","37.28","-3.60","-1.44","0"
"O-747413360365592","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/10/20","11:45 AM","189.99","0","7.99","15.34","10.00","223.32","-34.65","-7.11","0"
"O-506613502189255","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/23/20","6:40 PM","27.24","0","0.00","2.11","0","29.35","-3.41","-1.20","0"
"O-398113409574916","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","6:18 PM","10.99","0","0.00","0.85","0","11.84","-1.37","-0.66","0"
"O-456313429498036","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/15/20","6:11 PM","44.70","0","2.99","3.69","10.28","61.66","-5.96","-2.18","0"
"W-456313409421518","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","7:37 PM","16.49","0","2.99","1.51","4.00","24.99","0","-1.06","0"
"O-841113291841245","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/2/20","5:33 PM","31.23","0","0.00","2.42","0","33.65","-3.90","-1.33","0"
"O-117713316318416","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/20","8:45 PM","33.97","0","0.00","2.63","0","36.60","-4.25","-1.42","0"
"O-968413487391080","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","2:23 PM","56.95","0","2.99","4.64","12.92","77.50","-7.49","-2.66","0"
"O-960613526923838","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/25/20","5:23 PM","41.46","0","0.00","3.21","0","44.67","-5.18","-1.66","0"
"O-719113412035551","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/15/20","12:04 PM","17.98","0","2.99","1.62","3.39","25.98","-2.62","-1.09","0"
"O-649913489566986","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","8:39 PM","20.99","0","2.99","1.86","3.88","29.72","-3.00","-1.21","0"
"W-982813514800147","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","5:06 PM","21.57","0","4.99","2.06","5.72","34.34","0","-1.35","0"
"W-018713340872706","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/8/20","12:17 PM","16.48","0","2.99","1.51","3.15","24.13","0","-1.04","0"
"W-724313330907418","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/20","5:45 PM","31.21","0","2.99","2.65","6.68","43.53","0","-1.63","0"
"O-521213470654838","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","8:07 PM","10.99","0","0.00","0.85","1.18","13.02","-1.37","-0.70","0"
"O-053313319236719","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/20","6:55 PM","29.96","0","2.99","2.55","5.33","40.83","-4.12","-1.55","0"
"O-990313489524326","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","6:13 PM","76.47","0","2.99","6.16","21.41","107.03","-9.93","-3.56","0"
"W-345513552359428","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/20","7:27 PM","27.97","0","2.99","2.40","3.00","36.36","0","-1.41","0"
"W-834013562891096","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/20","4:23 PM","33.97","0","0.00","2.63","0","36.60","0","-1.42","0"
"W-296013300764545","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","6:51 PM","17.97","0","0.00","1.39","0","19.36","0","-0.89","0"
"W-521213480656025","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","7:19 PM","54.22","0","0.00","4.20","8.76","67.18","0","-2.35","0"
"O-725013362221655","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/20","6:05 PM","30.25","0","2.99","2.57","8.95","44.76","-4.16","-1.67","0"
"O-794913346647949","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","7:11 PM","28.98","0","2.99","2.48","2.00","36.45","-4.00","-1.41","0"
"O-174413573022093","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/20","6:33 PM","26.98","0","2.99","2.32","0","32.29","-3.75","-1.28","0"
"O-694913405052204","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","6:13 PM","93.69","0","2.99","7.49","15.63","119.80","-12.09","-3.95","0"
"O-711213388495553","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/20","8:37 PM","17.98","0","2.99","1.62","3.38","25.97","-2.62","-1.09","0"
"O-413813469867275","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","3:45 PM","29.96","0","0.00","2.32","3.23","35.51","-3.75","-1.38","0"
"W-718113303303817","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/20","5:30 PM","20.76","0","2.99","1.84","4.43","30.02","0","-1.22","0"
