Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-01-28,#03979,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-01-28,#5ba7fd2a,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.95,-$7.98,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.52,
Delivery,2022-01-28,#7497a397,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.00,-$12.80,$0.00,$0.00,$0.00,$2.48,$2.48,,$0.00,,$21.68,
Delivery,2022-01-28,#5B2C4,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-01-28,#874b56c0,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$3.10,-$5.00,$0.00,$0.00,$1.24,$1.24,,$0.00,,$14.13,
Delivery,2022-01-28,#8D33C,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$48.97,-$14.59,-$5.00,$0.00,-$3.41,$3.41,$0.00,,$0.00,,$29.38,
Delivery,2022-01-28,#1d2881fe,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$17.60,
Delivery,2022-01-28,#63F3C,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.50,-$11.40,$0.00,$0.00,-$2.21,$2.21,$0.00,,$0.00,,$17.10,
Delivery,2022-01-28,#859117817460699,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$21.44,-$8.57,$0.00,$0.00,$0.00,$1.66,$1.66,,$0.00,,$14.53,
Delivery,2022-01-28,#F6945,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.99,-$7.20,$0.00,$0.00,-$1.39,$1.39,$0.00,,$0.00,,$10.79,
