"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-952217724105335","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/19/22","9:55 PM","40.92","0.00","0","3.17","0","44.09","-8.18","-4.09","-1.64","0","0"
"O-663917739137203","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/21/22","4:03 PM","85.92","0.00","0","6.66","0","92.58","-17.18","-8.59","-3.12","0","0"
"O-371217542617975","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/1/22","5:45 PM","15.95","0.00","0","1.24","0","17.19","-3.19","-1.60","-0.82","0","0"
"O-677317796166002","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/26/22","5:56 PM","17.98","0.00","0","1.39","0","19.37","-3.60","-1.80","-0.89","0","0"
"O-833917563103238","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/3/22","5:46 PM","22.97","0.00","0","1.78","0","24.75","-4.59","-2.30","-1.05","0","0"
"O-247817670470089","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/14/22","6:43 PM","69.69","0.00","0","5.40","0","75.09","-13.94","-6.97","-2.59","0","0"
"O-097317702789443","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/17/22","9:29 PM","41.96","0.00","0","3.25","0","45.21","-8.39","-4.20","-1.68","0","0"
"O-147417719680229","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/18/22","5:30 PM","22.95","0.00","0","1.78","0","24.73","-4.59","-2.30","-1.05","0","0"
"O-719617810140539","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/28/22","7:09 PM","21.97","0.00","0","1.70","0","23.67","-4.39","-2.20","-1.02","0","0"
"O-859117777471483","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/25/22","4:10 PM","23.92","0.00","0","1.85","0","25.77","-4.78","-2.39","-1.09","0","0"
"O-663917819190358","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/28/22","7:17 PM","37.69","0.00","0","2.92","0","40.61","-7.54","-3.77","-1.54","0","0"
"O-295717541326837","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/1/22","6:01 PM","40.96","0.00","0","3.17","0","44.13","-8.19","-4.10","-1.65","0","0"
"O-837017775058975","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/24/22","7:49 PM","42.96","0.00","0","3.33","0","46.29","-8.59","-4.30","-1.71","0","0"
"O-837017825058953","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/29/22","6:36 PM","50.45","0.00","0","3.91","0","54.36","-10.09","-5.05","-1.96","0","0"
"O-419717595575034","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/6/22","7:53 PM","25.73","0.00","0","1.99","0","27.72","-5.15","-2.57","-1.15","0","0"
"O-353517688967102","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/15/22","7:45 PM","19.44","0.00","0","1.51","0","20.95","-3.89","-1.94","-0.94","0","0"
"O-295717611373858","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/8/22","8:57 PM","19.96","0.00","0","1.55","0","21.51","-3.99","-2.00","-0.96","0","0"
"O-670117676941218","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/15/22","4:12 PM","23.98","0.00","0","1.86","0","25.84","-4.80","-2.40","-1.09","0","0"
"O-419717555574164","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/2/22","5:11 PM","26.97","0.00","0","2.09","0","29.06","-5.39","-2.70","-1.19","0","0"
