"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-165215506630417","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/11/21","7:26 PM","56.03","0","1.99","4.49","9.06","71.57","-14.51","0","-2.48","0"
"O-402415427732051","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/4/21","12:40 PM","33.96","0","6.99","3.17","6.00","50.12","-10.24","0","-1.83","0"
"O-834215540239227","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/16/21","1:32 PM","22.97","0","4.99","2.17","4.51","34.64","-6.99","0","-1.36","0"
"O-904015595633930","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/20/21","7:00 PM","52.93","0","1.99","4.25","5.92","65.09","-13.73","0","-2.29","0"
"O-855715460882856","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/8/21","12:19 PM","23.98","0","8.99","2.56","5.17","40.70","-8.24","0","-1.54","0"
"O-435915547855872","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/16/21","5:40 PM","36.75","0","1.99","3.00","6.26","48.00","-9.69","0","-1.76","0"
"O-229815679993995","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/28/21","8:34 PM","11.99","0","0.00","0.93","1.29","14.21","-3.00","0","-0.73","0"
"O-378015619506315","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/22/21","8:02 PM","40.96","0","2.99","3.40","7.10","54.45","-10.99","0","-1.96","0"
"O-903915551302441","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/17/21","11:49 AM","11.99","0","0.00","0.93","1.50","14.42","-3.00","0","-0.74","0"
"O-438915518864867","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/12/21","9:15 PM","34.96","0","0.00","2.71","0","37.67","-8.74","0","-1.45","0"
"O-737415497095929","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/10/21","7:10 PM","18.98","0","6.99","2.01","2.00","29.98","-6.49","0","-1.21","0"
"T-AwEAAAAAAA9OouyG0zDXSxHrq0lv1rA4lCs","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","26561564-3336107 GR","6/27/21","6:31 AM","0","0","0.00","0.00","0","21.97","0","0","0","0"
"O-719315571024233","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","8:47 PM","63.92","0","8.99","5.65","1.00","79.56","-18.23","0","-2.73","0"
