"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-471414919190219","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/21","5:53 PM","23.18","0","8.99","2.50","5.20","39.87","-8.04","0","-1.52","0"
"O-903015027260101","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","6:00 PM","23.98","0","0.00","1.86","0","25.84","-6.00","0","-1.09","0"
"O-725214916993890","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/21","9:07 PM","46.93","0","1.99","3.79","9.00","61.71","-12.23","0","-2.18","0"
"O-643915082311290","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","8:11 PM","30.97","0","2.99","2.63","5.48","42.07","-8.49","0","-1.58","0"
"O-805314894834164","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","9:02 PM","30.18","0","8.99","3.04","6.33","48.54","-9.79","0","-1.78","0"
"O-185015049741552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","12:04 PM","22.98","0","0.00","1.78","4.95","29.71","-5.75","0","-1.21","0"
"O-628715078445864","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","4:18 PM","27.97","0","8.99","2.87","6.03","45.86","-9.24","0","-1.70","0"
"O-805314784876753","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/21","3:20 PM","21.01","0","4.99","2.02","4.20","32.22","-6.50","0","-1.28","0"
"O-586814818646052","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","8:15 PM","17.98","0","0.00","1.39","0","19.37","-4.50","0","-0.89","0"
"O-947315013124385","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","6:57 PM","28.77","0","8.99","2.93","5.00","45.69","-9.44","0","-1.69","0"
"O-434714801160323","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","5:10 PM","37.50","0","2.99","3.14","6.54","50.17","-10.12","0","-1.83","0"
"O-903714798991629","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/21","8:02 PM","36.79","0","2.99","3.08","6.42","49.28","-9.95","0","-1.80","0"
"T-AwEAAAAAAA9OovPMKDCZPRHrt_YLvF1i-5g","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","74351480-6988014 JW","4/9/21","7:14 AM","0","0","0.00","0.00","0","44.57","0","0","0","0"
"O-568114937436276","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/15/21","7:27 PM","49.44","0","4.99","4.22","7.99","66.64","-13.61","0","-2.33","0"
"O-903714828991337","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/4/21","9:21 PM","39.98","0","0.00","3.10","0","43.08","-10.00","0","-1.61","0"
"O-210014947860478","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","6:57 PM","32.97","0","1.99","2.71","5.65","43.32","-8.74","0","-1.62","0"
"O-014615008628244","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/22/21","6:01 PM","59.92","0","1.99","4.79","12.91","79.61","-15.48","0","-2.73","0"
"O-430314890190165","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","8:15 PM","15.48","0","6.99","1.74","3.63","27.84","-5.62","0","-1.15","0"
"O-014615068620906","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/28/21","6:42 PM","53.70","0","4.99","4.55","8.00","71.24","-14.67","0","-2.47","0"
"O-881414792086992","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/21","8:58 PM","82.62","0","4.99","6.79","12.00","106.40","-21.90","0","-3.55","0"
"O-886414875020651","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","8:41 PM","56.92","0","8.99","5.11","7.10","78.12","-16.48","0","-2.68","0"
"O-643915042358575","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/26/21","9:34 PM","36.87","0","4.99","3.25","4.51","49.62","-10.47","0","-1.81","0"
"O-931515076060389","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/29/21","9:22 PM","18.99","0","6.99","2.01","5.60","33.59","-6.50","0","-1.32","0"
"O-919515068571565","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/28/21","8:12 PM","31.99","0","2.99","2.71","7.31","45.00","-8.75","0","-1.67","0"
"O-014114909039791","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/12/21","8:20 PM","8.49","0","0.00","0.66","1.37","10.52","-2.12","0","-0.62","0"
"O-150314886130420","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/10/21","7:37 PM","43.99","0","6.99","3.95","10.99","65.92","-12.75","0","-2.31","0"
"O-643914972334847","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/20/21","5:30 PM","48.94","0","8.99","4.49","10.00","72.42","-14.48","0","-2.51","0"
"O-014615028695040","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","8:33 PM","21.57","0","1.99","1.82","3.49","28.87","-5.89","0","-1.18","0"
"O-069214872170122","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","9:23 PM","9.99","0","0.00","0.77","2.00","12.76","-2.50","0","-0.69","0"
"O-436414878387956","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","7:57 PM","41.96","0","0.00","3.25","0","45.21","-10.49","0","-1.68","0"
"O-737814939293784","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","5:16 PM","21.97","0","2.99","1.93","2.00","28.89","-6.24","0","-1.18","0"
"O-430314810192674","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/21","6:16 PM","43.97","0","0.00","3.41","4.00","51.38","-10.99","0","-1.87","0"
"O-838715015618252","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","7:52 PM","34.97","0","4.99","3.10","4.00","47.06","-9.99","0","-1.74","0"
"O-434714851196806","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/7/21","6:18 PM","51.24","0","4.99","4.36","9.08","69.67","-14.06","0","-2.42","0"
"O-976514864818600","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","7:09 PM","31.43","0","1.99","2.59","9.00","45.01","-8.36","0","-1.67","0"
"O-185015059792268","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","8:05 PM","44.39","0","1.99","3.59","8.00","57.97","-11.60","0","-2.07","0"
"O-873515001215163","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/22/21","7:47 PM","15.99","0","4.99","1.63","3.39","26.00","-5.25","0","-1.09","0"
"O-899315016569216","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/21","3:45 PM","30.56","0","0.00","2.37","0","32.93","-7.64","0","-1.30","0"
"T-AwEAAAAAAA9OorYuEQCiORHrhIxvODtw7TI","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","956914917092985 - JD","4/20/21","5:37 PM","0","0","0.00","0.00","0","30.14","0","0","0","0"
"O-903714858995960","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/7/21","7:49 PM","26.97","0","4.99","2.48","2.91","37.35","-7.99","0","-1.44","0"
"O-420314947580500","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","8:16 PM","29.75","0","1.99","2.46","5.13","39.33","-7.94","0","-1.50","0"
"O-424614923723669","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/14/21","9:31 PM","15.48","0","2.99","1.43","1.99","21.89","-4.62","0","-0.97","0"
"O-436414818384474","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/4/21","12:00 PM","39.96","0","4.99","3.49","14.53","62.97","-11.24","0","-2.22","0"
"O-792114858283020","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/7/21","7:32 PM","14.99","0","0.00","1.16","0","16.15","-3.75","0","-0.79","0"
"T-AwEAAAAAAA9OohbOJNCptxHrqaS9WpPLrcw","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","49641507-5117684, CS","4/30/21","6:22 AM","0","0","0.00","0.00","0","72.17","0","0","0","0"
"O-808714940447714","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","5:51 PM","23.98","0","0.00","1.86","0","25.84","-6.00","0","-1.09","0"
